"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp"
"FF","2021-07-07","99.9","-0.93","5.44","deGrom, Jacob",669203,594798,,"foul",,,,,"12","Corbin Burnes grounds out, pitcher Jacob deGrom to first baseman Pete Alonso.","R","R","R","NYM","MIL","S",,,"1","2",2021,"-0.82","1.32","0.84","3.16",,,,"0","6","Top",,,,,"621512",,,6.894187910350109,-145.37943074218316,-4.036358714240308,-13.293632215850781,34.29155507119988,-12.73845449560371,"3.49","1.6","229","76.8","49","100.7","2495","6.7",633395,594798,"621512","624413","643446","641645","596019","642086","607043","624424","53.77",,,,,,,,"38","4","4-Seam Fastball","1","2","2","1","2","1","2","1","Standard","Standard","215","0","0"
"SL","2021-07-07","93.4","-1.04","5.5","deGrom, Jacob",669203,594798,,"ball",,,,,"14","Corbin Burnes grounds out, pitcher Jacob deGrom to first baseman Pete Alonso.","R","R","R","NYM","MIL","B",,,"0","2",2021,"0.27","0.25","1.94","1.97",,,,"0","6","Top",,,,,"621512",,,7.123444307891469,-135.9257560921039,-3.9409007982598365,1.9180550208245164,28.264281003027417,-28.412200462109922,"3.68","1.87",,,,"94.1","2609","6.6",633395,594798,"621512","624413","643446","641645","596019","642086","607043","624424","53.91",,,,,,,,"38","3","Slider","1","2","2","1","2","1","2","1","Standard","Standard","175","0","0.022"
"FF","2021-07-07","99.7","-1.07","5.47","deGrom, Jacob",669203,594798,,"called_strike",,,,,"14","Corbin Burnes grounds out, pitcher Jacob deGrom to first baseman Pete Alonso.","R","R","R","NYM","MIL","S",,,"0","1",2021,"-0.92","1.39","0.93","1.83",,,,"0","6","Top",,,,,"621512",,,7.735736082477006,-144.8611411818765,-7.8931269289552475,-14.819727279606507,34.7353259250289,-10.96074370828979,"3.65","1.79",,,,"100.3","2570","6.7",633395,594798,"621512","624413","643446","641645","596019","642086","607043","624424","53.76",,,,,,,,"38","2","4-Seam Fastball","1","2","2","1","2","1","2","1","Standard","Standard","215","0","-0.052"
"FF","2021-07-07","98.7","-1.15","5.5","deGrom, Jacob",669203,594798,,"called_strike",,,,,"6","Corbin Burnes grounds out, pitcher Jacob deGrom to first baseman Pete Alonso.","R","R","R","NYM","MIL","S",,,"0","0",2021,"-0.88","1.43","0.72","2.62",,,,"0","6","Top",,,,,"621512",,,7.19374229941199,-143.43648079613288,-5.766954527681293,-13.801536434020246,35.04227381778133,-11.240002316114504,"3.76","1.8",,,,"99.4","2488","6.9",633395,594798,"621512","624413","643446","641645","596019","642086","607043","624424","53.62",,,,,,,,"38","1","4-Seam Fastball","1","2","2","1","2","1","2","1","Standard","Standard","214","0","-0.038"
"CH","2021-07-07","91.6","-0.94","5.4","deGrom, Jacob",598265,594798,"strikeout","swinging_strike",,,,,"7","Jackie Bradley strikes out swinging.","R","L","R","NYM","MIL","S","2",,"0","2",2021,"-1.13","0.35","-0.32","1.54",,,,"2","5","Top",,,,,"621512",,,4.051777982021663,-133.48308722268501,-4.8292505442865705,-14.366460624724615,22.57699481877683,-27.270353299834646,"3.3","1.5",,,,"93.8","1544","7",633395,594798,"621512","624413","643446","641645","596019","642086","607043","624424","53.49",,,"0","1","0","0",,"33","3","Changeup","1","2","2","1","2","1","2","1","Infield shift","Standard","235","0.012","-0.061"
"SL","2021-07-07","91.8","-1.01","5.5","deGrom, Jacob",598265,594798,,"foul",,,,,"14","Jackie Bradley strikes out swinging.","R","L","R","NYM","MIL","S",,,"0","1",2021,"0.37","0.28","0.98","2.04",,,,"2","5","Top",,,,,"621512",,,4.30350144934866,-133.8086040309726,-3.6777286788102326,3.6944610207709907,23.54071525100652,-28.29055852325766,"3.3","1.5","41","83.5","0","93.6","2430","6.8",633395,594798,"621512","624413","643446","641645","596019","642086","607043","624424","53.66",,,,,,,,"33","2","Slider","1","2","2","1","2","1","2","1","Infield shift","Standard","188","0","-0.024"
"FF","2021-07-07","99.1","-1.11","5.43","deGrom, Jacob",598265,594798,,"foul",,,,,"5","Jackie Bradley strikes out swinging.","R","L","R","NYM","MIL","S",,,"0","0",2021,"-0.76","1.52","0.23","2.59",,,,"2","5","Top",,,,,"621512",,,5.459458366168777,-144.24791743405245,-6.002349493000565,-11.794794806003043,31.593292100929073,-9.691905214787024,"3.3","1.5","214","73.4","42","100.3","2443","6.8",633395,594798,"621512","624413","643446","641645","596019","642086","607043","624424","53.71",,,,,,,,"33","1","4-Seam Fastball","1","2","2","1","2","1","2","1","Infield shift","Standard","219","0","-0.018"
"FF","2021-07-07","99.7","-1","5.44","deGrom, Jacob",669374,594798,"strikeout","swinging_strike",,,,,"12","Keston Hiura strikes out swinging.","R","R","R","NYM","MIL","S","2",,"1","2",2021,"-0.81","1.41","1.05","2.63",,,,"1","5","Top",,,,,"621512",,,7.607206981041459,-145.0486012085185,-5.721523649130906,-13.126505707668182,32.420563523325875,-11.120394759009105,"3.37","1.53",,,,"101.1","2456","6.9",633395,594798,"621512","624413","643446","641645","596019","642086","607043","624424","53.56",,,"0","1","0","0",,"32","4","4-Seam Fastball","1","2","2","1","2","1","2","1","Infield shift","Standard","213","0.018","-0.114"
"SL","2021-07-07","93.3","-1.11","5.5","deGrom, Jacob",669374,594798,,"swinging_strike",,,,,"6","Keston Hiura strikes out swinging.","R","R","R","NYM","MIL","S",,,"1","1",2021,"0.48","0.43","0.75","2.48",,,,"1","5","Top",,,,,"621512",,,3.7458739934230274,-135.9409348130201,-3.020651244659314,5.21548633738021,27.973584967689117,-26.392802795379595,"3.37","1.53",,,,"94.2","2524","6.6",633395,594798,"621512","624413","643446","641645","596019","642086","607043","624424","53.88",,,,,,,,"32","3","Slider","1","2","2","1","2","1","2","1","Infield shift","Standard","176","0","-0.043"
"FF","2021-07-07","99.6","-1.04","5.43","deGrom, Jacob",669374,594798,,"ball",,,,,"14","Keston Hiura strikes out swinging.","R","R","R","NYM","MIL","B",,,"0","1",2021,"-0.56","1.54","1.05","2.22",,,,"1","5","Top",,,,,"621512",,,7.093192081745711,-144.736975756311,-7.099019252526979,-9.521752192462138,32.962222248693735,-9.063739538318158,"3.51","1.6",,,,"100.4","2472","6.7",633395,594798,"621512","624413","643446","641645","596019","642086","607043","624424","53.76",,,,,,,,"32","2","4-Seam Fastball","1","2","2","1","2","1","2","1","Infield shift","Standard","211","0","0.021"
